Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Forward,0.81,80.75,242.0,86.25,108.0,9.25,10.180000000000007,32.0,37.0,11.01,2.94,3.18,16.0
Forward,0.8200000000000001,81.0,242.4,86.5,108.5,9.25,10.3,32.0,37.5,11.0,2.93,3.17,16.0
Forward,0.8300000000000001,81.0,243.204,86.5,108.5,9.25,10.3,32.0,37.5,11.0,2.91,3.17,16.0
Forward,0.84,81.0,244.65999999999997,86.75,108.5,9.25,10.3,32.0,37.5,10.99,2.91,3.16,17.0
Forward,0.85,81.07499999999999,246.0,86.82499999999999,108.5,9.25,10.3,32.44999999999999,37.5,10.98,2.9,3.15,17.0
Forward,0.86,81.25,247.0,87.0,109.0,9.25,10.3,32.5,38.0,10.95,2.9,3.15,17.0
Forward,0.87,81.25,248.0,87.0,109.0,9.25,10.3,32.5,38.0,10.93,2.8822,3.14,18.0
Forward,0.88,81.348,249.6,87.0,109.0,9.25,10.3,33.0,38.0,10.91,2.8728,3.14,18.0
Forward,0.89,81.5,250.0,87.25,109.0,9.25,10.3,33.0,38.17500000000001,10.89,2.8467999999999996,3.13,18.0
Forward,0.9,81.5,252.0,87.5,109.5,9.25,10.5,33.0,38.5,10.87,2.824,3.12,19.0
Forward,0.91,81.5,252.836,87.5,109.5,9.5,10.5,33.0,38.5,10.82,2.8045999999999998,3.1,19.0
Forward,0.92,81.75,254.232,87.75,109.5,9.5,10.5,33.5,39.0,10.79,2.8,3.1,19.0
Forward,0.93,82.0,256.028,88.0,109.57000000000005,9.5,10.5,33.5,39.47500000000002,10.75,2.7773999999999996,3.0863,20.0
Forward,0.9400000000000001,82.0,257.648,88.0,110.0,9.5,10.5,34.0,39.5,10.711999999999998,2.75,3.07,20.0
Forward,0.9500000000000001,82.25,259.0,88.25,110.0,9.5,10.8,34.0,40.0,10.675,2.7039999999999997,3.0444999999999993,20.0
Forward,0.96,82.25,261.0,88.5,110.5,9.5,10.8,34.5,40.5,10.63,2.6527999999999996,3.0,21.0
Forward,0.97,82.5,263.05999999999995,88.75,110.5,9.549999999999997,10.8,35.0,40.5,10.583,2.6182,3.0,22.0
Forward,0.98,83.0,267.04799999999994,89.25999999999999,111.5,9.75,11.0,35.5,41.349999999999966,10.56,2.5788,3.0,23.0
Forward,0.99,83.5,276.628,90.0,112.0,9.849999999999994,11.3,36.93000000000001,42.0,10.440999999999999,2.487,3.0,25.0
