Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,DRAFTED,0.93,84.8925,262.8,90.9,115.0,9.75,10.8,35.34,39.67,11.2296,2.973,3.0,14.110000000000003
Center,DRAFTED,0.9400000000000001,85.048,262.908,91.0,115.0,9.75,10.8,35.72,39.86,11.2068,2.954,3.0,14.380000000000003
Center,DRAFTED,0.9500000000000001,85.44,263.79,91.125,115.0,9.875,10.9,36.1,40.1,11.171,2.9379999999999997,3.0,14.650000000000002
Center,DRAFTED,0.96,85.848,265.296,91.25,115.02,10.0,11.0,36.48,40.48,11.0988,2.9304,3.0,14.920000000000002
Center,DRAFTED,0.97,86.436,273.822,91.875,115.265,10.0,11.0,36.86,40.86,11.0266,2.9228,3.0,15.190000000000001
Center,DRAFTED,0.98,87.01599999999999,282.3399999999999,92.5,115.53,10.0,11.0,37.0,41.84,10.9928,2.9175999999999997,3.0,15.46
Center,DRAFTED,0.99,87.408,290.66999999999996,93.65,116.265,10.0,11.15,37.0,43.16999999999999,10.9814,2.9138,3.0,15.73
Forward,ALL,0.0,74.0,174.4,76.75,96.5,7.75,7.3,20.5,21.0,14.45,3.76,3.81,0.0
Forward,ALL,0.01,75.5,185.0,78.5,99.0,8.0,8.3,22.635,26.0,13.2455,3.5953,3.6578,0.0
Forward,ALL,0.02,75.75,189.6,78.892,100.0,8.175,8.5,23.0,26.5,12.997,3.54,3.6,0.0
Forward,ALL,0.03,76.0,193.0,79.25,100.5,8.25,8.5,23.5,27.5,12.8655,3.54,3.58,1.0
