Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,LOTTERY,0.96,84.97,262.104,90.22,114.32,9.5,10.8,35,40,11.25,2.94,3,13
Center,LOTTERY,0.97,85.32,263.088,90.37,114.66,9.58,10.88,35.5,41.125,11.1875,2.935,3,13
Center,LOTTERY,0.98,85.88,263.592,90.58,114.94,9.72,11.02,36,42.25,11.125,2.93,3,13
Center,LOTTERY,0.99,86.44,264.096,90.79,115.22,9.86,11.16,36.5,43.375,11.0625,2.925,3,13
Forward,FIRST ROUND,0,74.75,178.4,77.25,98.5,8,8.3,23.5,26.5,12.28,3.46,3.59,1
Forward,FIRST ROUND,0.01,75.7625,184.46,79.05,99.5,8,8.3,23.895,28.87,12.2563,3.3775,3.5663,1.81
Forward,FIRST ROUND,0.02,76.025,185.88,80.025,99.55,8.025,8.3,24.29,29.79,12.192,3.34,3.5252,2.62
Forward,FIRST ROUND,0.03,76.2875,189.33,80.25,100,8.25,8.3,24.685,30.37,12.0686,3.3275,3.4852,3.43
Forward,FIRST ROUND,0.04,76.5,194.84,80.26,100.1,8.25,8.34,25,31.08,11.9252,3.32,3.46,4.08
Forward,FIRST ROUND,0.05,76.5,195.9,80.35,100.625,8.25,8.5,25,31.475,11.9015,3.305,3.46,4.35
Forward,FIRST ROUND,0.06,76.5,196.44,80.5,101,8.25,8.5,25.37,31.5,11.8852,3.3,3.4526,4.62
Forward,FIRST ROUND,0.07,76.5,197.42,80.5,101.175,8.25,8.605,25.765,31.765,11.8588,3.3,3.4288,4.89
Forward,FIRST ROUND,0.08,76.5,198.36,80.6,101.5,8.25,8.8,26.16,32,11.8208,3.3,3.4004,5
Forward,FIRST ROUND,0.09,76.6125,198.78,80.75,101.725,8.25,8.8,26.555,32,11.7756,3.2925,3.38,5
Forward,FIRST ROUND,0.1,76.75,199.3,80.75,102,8.375,8.8,26.95,32,11.744,3.285,3.38,5
Forward,FIRST ROUND,0.11,76.8875,199.6,80.7775,102,8.5,8.8,27,32,11.7124,3.2775,3.38,5
Forward,FIRST ROUND,0.12,77.15,199.72,80.92,102,8.5,8.8,27,32,11.6904,3.27,3.3752,5
Forward,FIRST ROUND,0.13,77.25,200.19,81,102,8.5,8.8,27,32.135,11.6746,3.27,3.37,5
Forward,FIRST ROUND,0.14,77.25,201.24,81,102,8.5,8.94,27,32.56,11.6594,3.26,3.3682,5
Forward,FIRST ROUND,0.15,77.25,202.65,81,102.375,8.5,9,27,33.35,11.6515,3.2475,3.3445,5
